Id,LotFrontage,LotArea,LotArea - delete,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MiscVal,MoSold,YrSold,SalePrice
1,65,8450.579741,8450,Inside,1Fam,2Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,GLQ,706,0,150,856,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,2003,RFn,2,548,TA,0,61,0,0,0,0,NA,0,2,2008,208500
2,80,9600.765354,9600,FR2,1Fam,1Story,6,8,1976,1976,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,0,284,1262,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,1976,RFn,2,460,TA,298,0,0,0,0,0,NA,0,5,2007,181500
3,68,11250.79913,11250,Inside,1Fam,2Story,7,5,2001,2002,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,0,434,920,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,2001,RFn,2,608,TA,0,42,0,0,0,0,NA,0,9,2008,223500
4,60,9550.298048,9550,Corner,1Fam,2Story,7,5,1915,1970,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,0,540,756,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,1998,Unf,3,642,TA,0,35,272,0,0,0,NA,0,2,2006,140000
5,84,14260.9748,14260,FR2,1Fam,2Story,8,5,2000,2000,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,GLQ,655,0,490,1145,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,2000,RFn,3,836,TA,192,84,0,0,0,0,NA,0,12,2008,250000
6,85,14115.26406,14115,Inside,1Fam,1.5Fin,5,5,1993,1995,VinylSd,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,GLQ,732,0,64,796,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,1993,Unf,2,480,TA,40,30,0,320,0,0,Shed,700,10,2009,143000
7,75,10084.9284,10084,Inside,1Fam,1Story,8,5,2004,2005,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,0,317,1686,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,2004,RFn,2,636,TA,255,57,0,0,0,0,NA,0,8,2007,307000
8,,10382.07065,10382,Corner,1Fam,2Story,7,6,1973,1973,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,32,216,1107,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,1973,RFn,2,484,TA,235,204,228,0,0,0,Shed,350,11,2009,200000
9,51,6120.290847,6120,Inside,1Fam,1.5Fin,7,5,1931,1950,BrkFace,Wd Shng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,0,952,952,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,1931,Unf,2,468,Fa,90,0,205,0,0,0,,0,4,2008,129900
10,50,7420.387595,7420,Corner,2fmCon,1.5Unf,5,6,1939,1950,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,GLQ,851,0,140,991,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,1939,RFn,1,205,Gd,0,4,0,0,0,0,NA,0,1,2008,118000
11,70,11200.28829,11200,Inside,1Fam,1Story,5,5,1965,1965,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,906,0,134,1040,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,1965,Unf,1,384,TA,0,0,0,0,0,0,NA,0,2,2008,129500
12,85,11924.25357,11924,Inside,1Fam,2Story,9,5,2005,2006,WdShing,Wd Shng,Stone,286,Ex,TA,PConc,Ex,TA,No,GLQ,998,0,177,1175,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,2005,Fin,3,736,TA,147,21,0,0,0,0,NA,0,7,2006,345000
13,,12968.35543,12968,Inside,1Fam,1Story,5,6,1962,1962,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,737,0,175,912,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,NA,1962,Unf,1,352,TA,140,0,0,0,176,0,NA,0,9,2008,144000
14,91,10652.63633,10652,Inside,1Fam,1Story,7,5,2006,2007,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,Av,Unf,0,0,1494,1494,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,2006,RFn,3,840,TA,160,33,0,0,0,0,NA,0,8,2007,279500
15,,10920.56391,10920,Corner,1Fam,1Story,6,5,1960,1960,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,No,BLQ,733,0,520,1253,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,1960,RFn,1,352,TA,0,213,176,0,0,0,NA,0,5,2008,157000
16,51,6120.597325,6120,Corner,1Fam,1.5Unf,7,8,1929,2001,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,0,832,832,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,NA,1991,Unf,2,576,TA,48,112,0,0,0,0,NA,0,7,2007,132000
17,,11241.65112,11241,CulDSac,1Fam,1Story,6,7,1970,1970,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,No,ALQ,578,0,426,1004,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,1970,Fin,2,480,TA,0,0,0,0,0,0,Shed,700,3,2010,149000
18,72,10791.4978,10791,Inside,Duplex,1Story,4,5,1967,1967,MetalSd,MetalSd,None,0,TA,TA,Slab,NA,NA,NA,NA,0,0,0,0,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,NA,1967,Unf,2,516,TA,0,0,0,0,0,0,Shed,500,10,2006,90000
19,66,13695.06261,13695,Inside,1Fam,1Story,5,5,2004,2004,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,646,0,468,1114,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,NA,2004,Unf,2,576,TA,0,102,0,0,0,0,NA,0,6,2008,159000
20,70,7560.818329,7560,Inside,1Fam,1Story,5,6,1958,1965,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,LwQ,504,0,525,1029,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,NA,1958,Unf,1,294,TA,0,0,0,0,0,0,NA,0,5,2009,139000
21,101,14215.11358,14215,Corner,1Fam,2Story,8,5,2005,2006,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,Av,Unf,0,0,1158,1158,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,2005,RFn,3,853,TA,240,154,0,0,0,0,NA,0,11,2006,325300
22,57,7449.869302,7449,Inside,1Fam,1.5Unf,7,7,1930,1950,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,0,637,637,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,1930,Unf,1,280,TA,0,0,205,0,0,0,NA,0,6,2007,139400
23,75,9742.411177,9742,Inside,1Fam,1Story,8,5,2002,2002,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,No,Unf,0,0,1777,1777,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,2002,RFn,2,534,TA,171,159,0,0,0,0,NA,0,9,2008,230000
24,44,4224.536323,4224,Inside,TwnhsE,1Story,5,7,1976,1976,CemntBd,CmentBd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,840,0,200,1040,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,1976,Unf,2,572,TA,100,110,0,0,0,0,NA,0,6,2007,129900
25,,8246.27644,8246,Inside,1Fam,1Story,5,8,1968,2001,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,668,204,1060,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,1968,Unf,1,270,TA,406,90,0,0,0,0,NA,0,5,2010,154000
26,110,14230.40159,14230,Corner,1Fam,1Story,8,5,2007,2007,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,Gd,TA,No,Unf,0,0,1566,1566,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,2007,RFn,3,890,TA,0,56,0,0,0,0,NA,0,7,2009,256300
27,60,7200.283946,7200,Corner,1Fam,1Story,5,7,1951,2000,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,486,180,900,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,2005,Unf,2,576,TA,222,32,0,0,0,0,NA,0,5,2010,134800
28,98,11478.58713,11478,Inside,1Fam,1Story,8,5,2007,2008,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,No,GLQ,1218,0,486,1704,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,2008,RFn,3,772,TA,0,50,0,0,0,0,NA,0,5,2010,306000
